YEAR,CATEGORY,NAME,WINORLOSE
1947,ACTRESS IN A LEADING ROLE,Rosalind Russell,FALSE
1947,ACTRESS IN A LEADING ROLE,Loretta Young,TRUE
1948,ACTOR IN A LEADING ROLE,Lew Ayres,FALSE
1948,ACTOR IN A LEADING ROLE,Montgomery Clift,FALSE
1948,ACTOR IN A LEADING ROLE,Dan Dailey,FALSE
1948,ACTOR IN A LEADING ROLE,Laurence Olivier,TRUE
1948,ACTOR IN A LEADING ROLE,Clifton Webb,FALSE
1948,ACTRESS IN A LEADING ROLE,Ingrid Bergman,FALSE
1948,ACTRESS IN A LEADING ROLE,Olivia de Havilland,FALSE
1948,ACTRESS IN A LEADING ROLE,Irene Dunne,FALSE
1948,ACTRESS IN A LEADING ROLE,Barbara Stanwyck,FALSE
1948,ACTRESS IN A LEADING ROLE,Jane Wyman,TRUE
1949,ACTOR IN A LEADING ROLE,Broderick Crawford,TRUE
1949,ACTOR IN A LEADING ROLE,Kirk Douglas,FALSE
1949,ACTOR IN A LEADING ROLE,Gregory Peck,FALSE
1949,ACTOR IN A LEADING ROLE,Richard Todd,FALSE
1949,ACTOR IN A LEADING ROLE,John Wayne,FALSE
1949,ACTRESS IN A LEADING ROLE,Jeanne Crain,FALSE
1949,ACTRESS IN A LEADING ROLE,Olivia de Havilland,TRUE
1949,ACTRESS IN A LEADING ROLE,Susan Hayward,FALSE
1949,ACTRESS IN A LEADING ROLE,Deborah Kerr,FALSE
1949,ACTRESS IN A LEADING ROLE,Loretta Young,FALSE
1950,ACTOR IN A LEADING ROLE,Louis Calhern,FALSE
1950,ACTOR IN A LEADING ROLE,Jos̩ Ferrer,TRUE
1950,ACTOR IN A LEADING ROLE,William Holden,FALSE
1950,ACTOR IN A LEADING ROLE,James Stewart,FALSE
1950,ACTOR IN A LEADING ROLE,Spencer Tracy,FALSE
1950,ACTRESS IN A LEADING ROLE,Anne Baxter,FALSE
1950,ACTRESS IN A LEADING ROLE,Bette Davis,FALSE
1950,ACTRESS IN A LEADING ROLE,Judy Holliday,TRUE
1950,ACTRESS IN A LEADING ROLE,Eleanor Parker,FALSE
1950,ACTRESS IN A LEADING ROLE,Gloria Swanson,FALSE
1951,ACTOR IN A LEADING ROLE,Humphrey Bogart,TRUE
1951,ACTOR IN A LEADING ROLE,Marlon Brando,FALSE
1951,ACTOR IN A LEADING ROLE,Montgomery Clift,FALSE
1951,ACTOR IN A LEADING ROLE,Arthur Kennedy,FALSE
1951,ACTOR IN A LEADING ROLE,Fredric March,FALSE
1951,ACTRESS IN A LEADING ROLE,Katharine Hepburn,FALSE
1951,ACTRESS IN A LEADING ROLE,Vivien Leigh,TRUE
1951,ACTRESS IN A LEADING ROLE,Eleanor Parker,FALSE
1951,ACTRESS IN A LEADING ROLE,Shelley Winters,FALSE
1951,ACTRESS IN A LEADING ROLE,Jane Wyman,FALSE
1952,ACTOR IN A LEADING ROLE,Marlon Brando,FALSE
1952,ACTOR IN A LEADING ROLE,Gary Cooper,TRUE
1952,ACTOR IN A LEADING ROLE,Kirk Douglas,FALSE
1952,ACTOR IN A LEADING ROLE,Jos̩ Ferrer,FALSE
1952,ACTOR IN A LEADING ROLE,Alec Guinness,FALSE
1952,ACTRESS IN A LEADING ROLE,Shirley Booth,TRUE
1952,ACTRESS IN A LEADING ROLE,Joan Crawford,FALSE
1952,ACTRESS IN A LEADING ROLE,Bette Davis,FALSE
1952,ACTRESS IN A LEADING ROLE,Julie Harris,FALSE
1952,ACTRESS IN A LEADING ROLE,Susan Hayward,FALSE
1953,ACTOR IN A LEADING ROLE,Marlon Brando,FALSE
1953,ACTOR IN A LEADING ROLE,Richard Burton,FALSE
1953,ACTOR IN A LEADING ROLE,Montgomery Clift,FALSE
1953,ACTOR IN A LEADING ROLE,William Holden,TRUE
1953,ACTOR IN A LEADING ROLE,Burt Lancaster,FALSE
1953,ACTRESS IN A LEADING ROLE,Leslie Caron,FALSE
1953,ACTRESS IN A LEADING ROLE,Ava Gardner,FALSE
1953,ACTRESS IN A LEADING ROLE,Audrey Hepburn,TRUE
1953,ACTRESS IN A LEADING ROLE,Deborah Kerr,FALSE
1953,ACTRESS IN A LEADING ROLE,Maggie McNamara,FALSE
1954,ACTOR IN A LEADING ROLE,Humphrey Bogart,FALSE
1954,ACTOR IN A LEADING ROLE,Marlon Brando,TRUE
1954,ACTOR IN A LEADING ROLE,Bing Crosby,FALSE
1954,ACTOR IN A LEADING ROLE,James Mason,FALSE
1954,ACTOR IN A LEADING ROLE,Dan O'Herlihy,FALSE
1954,ACTRESS IN A LEADING ROLE,Dorothy Dandridge,FALSE
1954,ACTRESS IN A LEADING ROLE,Judy Garland,FALSE
1954,ACTRESS IN A LEADING ROLE,Audrey Hepburn,FALSE
1954,ACTRESS IN A LEADING ROLE,Grace Kelly,TRUE
1954,ACTRESS IN A LEADING ROLE,Jane Wyman,FALSE
1955,ACTOR IN A LEADING ROLE,Ernest Borgnine,TRUE
1955,ACTOR IN A LEADING ROLE,James Cagney,FALSE
1955,ACTOR IN A LEADING ROLE,James Dean,FALSE
1955,ACTOR IN A LEADING ROLE,Frank Sinatra,FALSE
1955,ACTOR IN A LEADING ROLE,Spencer Tracy,FALSE
1955,ACTRESS IN A LEADING ROLE,Susan Hayward,FALSE
1955,ACTRESS IN A LEADING ROLE,Katharine Hepburn,FALSE
1955,ACTRESS IN A LEADING ROLE,Jennifer Jones,FALSE
1955,ACTRESS IN A LEADING ROLE,Anna Magnani,TRUE
1955,ACTRESS IN A LEADING ROLE,Eleanor Parker,FALSE
1956,ACTOR IN A LEADING ROLE,Yul Brynner,TRUE
1956,ACTOR IN A LEADING ROLE,James Dean,FALSE
1956,ACTOR IN A LEADING ROLE,Kirk Douglas,FALSE
1956,ACTOR IN A LEADING ROLE,Rock Hudson,FALSE
1956,ACTOR IN A LEADING ROLE,Sir Laurence Olivier,FALSE
1956,ACTRESS IN A LEADING ROLE,Carroll Baker,FALSE
1956,ACTRESS IN A LEADING ROLE,Ingrid Bergman,TRUE
1956,ACTRESS IN A LEADING ROLE,Katharine Hepburn,FALSE
1956,ACTRESS IN A LEADING ROLE,Nancy Kelly,FALSE
1956,ACTRESS IN A LEADING ROLE,Deborah Kerr,FALSE
1957,ACTOR IN A LEADING ROLE,Marlon Brando,FALSE
1957,ACTOR IN A LEADING ROLE,Anthony Franciosa,FALSE
1957,ACTOR IN A LEADING ROLE,Alec Guinness,TRUE
1957,ACTOR IN A LEADING ROLE,Charles Laughton,FALSE
1957,ACTOR IN A LEADING ROLE,Anthony Quinn,FALSE
1957,ACTRESS IN A LEADING ROLE,Deborah Kerr,FALSE
1957,ACTRESS IN A LEADING ROLE,Anna Magnani,FALSE
1957,ACTRESS IN A LEADING ROLE,Elizabeth Taylor,FALSE
1957,ACTRESS IN A LEADING ROLE,Lana Turner,FALSE
1957,ACTRESS IN A LEADING ROLE,Joanne Woodward,TRUE
1958,ACTOR IN A LEADING ROLE,Tony Curtis,FALSE
1958,ACTOR IN A LEADING ROLE,Paul Newman,FALSE
1958,ACTOR IN A LEADING ROLE,David Niven,TRUE
1958,ACTOR IN A LEADING ROLE,Sidney Poitier,FALSE
1958,ACTOR IN A LEADING ROLE,Spencer Tracy,FALSE
1958,ACTRESS IN A LEADING ROLE,Susan Hayward,TRUE
1958,ACTRESS IN A LEADING ROLE,Deborah Kerr,FALSE
1958,ACTRESS IN A LEADING ROLE,Shirley MacLaine,FALSE
1958,ACTRESS IN A LEADING ROLE,Rosalind Russell,FALSE
1958,ACTRESS IN A LEADING ROLE,Elizabeth Taylor,FALSE
1959,ACTOR IN A LEADING ROLE,Laurence Harvey,FALSE
1959,ACTOR IN A LEADING ROLE,Charlton Heston,TRUE
1959,ACTOR IN A LEADING ROLE,Jack Lemmon,FALSE
1959,ACTOR IN A LEADING ROLE,Paul Muni,FALSE
1959,ACTOR IN A LEADING ROLE,James Stewart,FALSE
1959,ACTRESS IN A LEADING ROLE,Doris Day,FALSE
1959,ACTRESS IN A LEADING ROLE,Audrey Hepburn,FALSE
1959,ACTRESS IN A LEADING ROLE,Katharine Hepburn,FALSE
1959,ACTRESS IN A LEADING ROLE,Simone Signoret,TRUE
1959,ACTRESS IN A LEADING ROLE,Elizabeth Taylor,FALSE
1960,ACTOR IN A LEADING ROLE,Trevor Howard,FALSE
